"Incident ID1, 2, 3, 4, …",Commune (Admin2) de l'incident,lat_y,lon_x,Year,Quarter,Month,Day,Type of Sexual Violence ,Count of SV ,Perpetrator Category,# of Victims,Victim's Sex,Minor0 - 17,Adults18 - 59,Elderly60+
1,Gressier,18.5441194,-72.4766886,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,0,1,0
2,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Collective Rape,1,Gangs,2,Female,1,0,0
3,Pétion-Ville,18.4838989,-72.3157059,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
4,Pétion-Ville,18.4838989,-72.3157059,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
5,Pétion-Ville,18.4838989,-72.3157059,2026,Qtr 1,January,1,Rape,1,Gangs,1,Female,1,0,0
6,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
7,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
8,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
9,Croix-des-Bouquets,18.7306286,-72.3083562,2026,Qtr 1,January,1,Collective Rape / Result in Pregnancy,1,Gangs,1,Female,1,0,0
10,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,0,1,0
11,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
12,Delmas,18.5553727,-72.3063117,2026,Qtr 1,January,1,Rape,1,Gangs,1,Female,1,0,0
13,Gros Morne,19.6744559,-72.6334068,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
14,Gressier,18.5441194,-72.4766886,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
15,Tabarre,18.5958321,-72.2845644,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
16,Kenscoff,18.3717337,-72.2862809,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
17,Pétion-Ville,18.4838989,-72.3157059,2026,Qtr 1,January,1,Rape,1,Unknown,1,Female,0,1,0
18,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Rape,1,Gangs,1,Female,1,0,0
19,Tabarre,18.5958321,-72.2845644,2026,Qtr 1,January,1,Rape (Result in Pregnancy),1,Gangs,1,Female,1,0,0
20,L'Estère,19.3667591,-72.5728224,2026,Qtr 1,January,1,Rape,1,Gangs,1,Female,1,0,0
21,Cité Soleil,18.5937745,-72.3102812,2026,Qtr 1,January,1,Rape,1,Gangs,1,Female,1,0,0
22,Delmas,18.5553727,-72.3063117,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
23,Pétion-Ville,18.4838989,-72.3157059,2026,Qtr 1,January,1,Rape,1,Unknown,1,Female,1,0,0
24,Cité Soleil,18.5937745,-72.3102812,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,1,0,0
25,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,0,0,1
26,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Rape,1,Gangs,1,Female,0,1,0
27,Port-au-Prince,18.547327,-72.3395928,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,0,1,0
28,Tabarre,18.5958321,-72.2845644,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,0,1,0
29,Croix-des-Bouquets,18.7306286,-72.3083562,2026,Qtr 1,January,1,Collective Rape / Result in Pregnancy,1,Gangs,1,Female,0,1,0
30,Delmas,18.5553727,-72.3063117,2026,Qtr 1,January,1,Collective Rape,1,Unknown,1,Female,0,1,0
31,Cité Soleil,18.5937745,-72.3102812,2026,Qtr 1,January,1,Collective Rape,1,Unknown,1,Female,0,1,0
32,Tabarre,18.5958321,-72.2845644,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,0,1,0
33,Delmas,18.5553727,-72.3063117,2026,Qtr 1,January,1,Collective Rape,1,Gangs,1,Female,0,1,0
